Protein_ID,Localizations,Signals,Membrane types,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome,Peripheral,Transmembrane,Lipid anchor,Soluble
Sequence_0,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5536999702453613,0.58160001039505,0.1647000014781952,0.15700000524520874,0.13050000369548798,0.013100000098347664,0.13449999690055847,0.05889999866485596,0.18230000138282776,0.010900000110268593,0.5974000096321106,0.009600000455975533,0.1956000030040741,0.8812000155448914
Sequence_1,Nucleus,Nuclear localization signal,Soluble,0.3666999936103821,0.8673999905586243,0.03400000184774399,0.03830000013113022,0.03319999948143959,0.0003000000142492354,0.04340000078082085,0.020800000056624413,0.007400000002235174,0.0026000000070780516,0.529699981212616,0.03709999844431877,0.024399999529123306,0.8044000267982483
Sequence_2,Cytoplasm,Nuclear localization signal,Soluble,0.6973000168800354,0.5216000080108643,0.05640000104904175,0.11270000040531158,0.05220000073313713,0.002400000113993883,0.03009999915957451,0.066600002348423,0.09780000150203705,0.03020000085234642,0.5734999775886536,0.012600000016391277,0.0917000025510788,0.8497999906539917
Sequence_3,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.5257999897003174,0.8012999892234802,0.03920000046491623,0.052799999713897705,0.04729999974370003,0.0019000000320374966,0.05770000070333481,0.0414000004529953,0.04969999939203262,0.0034000000450760126,0.5450000166893005,0.019700000062584877,0.03519999980926514,0.838100016117096
Sequence_4,Cytoplasm,Nuclear localization signal,Peripheral|Soluble,0.6926000118255615,0.4796000123023987,0.023900000378489494,0.288100004196167,0.06790000200271606,0.00279999990016222,0.12540000677108765,0.19189999997615814,0.1728000044822693,0.013899999670684338,0.7318000197410583,0.06319999694824219,0.10419999808073044,0.6069999933242798
Sequence_5,Nucleus,,Soluble,0.41819998621940613,0.6277999877929688,0.019500000402331352,0.13120000064373016,0.06650000065565109,0.0005000000237487257,0.08179999887943268,0.13410000503063202,0.02329999953508377,0.02280000038444996,0.545199990272522,0.0625,0.027499999850988388,0.7383000254631042
Sequence_6,Nucleus,Nuclear localization signal,Soluble,0.45879998803138733,0.6237999796867371,0.0763000026345253,0.0925000011920929,0.03849999979138374,0.00279999990016222,0.08569999784231186,0.06780000030994415,0.05249999836087227,0.04149999842047691,0.3968000113964081,0.05270000174641609,0.06069999933242798,0.8264999985694885
Sequence_7,Mitochondrion,,Transmembrane,0.3100999891757965,0.3472000062465668,0.27730000019073486,0.2345999926328659,0.5004000067710876,0.07320000231266022,0.3864000141620636,0.3711000084877014,0.1356000006198883,0.015200000256299973,0.30480000376701355,0.8615999817848206,0.0421999990940094,0.2743000090122223
Sequence_8,Cytoplasm,Nuclear localization signal,Soluble,0.628000020980835,0.39980000257492065,0.24940000474452972,0.3912000060081482,0.10279999673366547,0.045499999076128006,0.1273999959230423,0.06859999895095825,0.2953000068664551,0.002400000113993883,0.4677000045776367,0.007000000216066837,0.313400000333786,0.9386000037193298
Sequence_9,Cytoplasm|Nucleus,Nuclear localization signal,Soluble,0.49950000643730164,0.6363000273704529,0.04450000077486038,0.19949999451637268,0.07199999690055847,0.0015999999595806003,0.09120000153779984,0.09350000321865082,0.04270000010728836,0.016100000590085983,0.5752000212669373,0.05829999968409538,0.14219999313354492,0.7455999851226807
